
 0, 0.000000, 1.000000
 1, 0.000000, 1.000000
 2, 0.000000, 0.999999
 3, 0.000001, 0.999999
 4, 0.000001, 0.999998
 5, 0.000002, 0.999997
 6, 0.000002, 0.999995
 7, 0.000004, 0.999991
 8, 0.000006, 0.999987
 9, 0.000009, 0.999979
10, 0.000013, 0.999968
11, 0.000020, 0.999952
12, 0.000029, 0.999928
13, 0.000042, 0.999892
14, 0.000061, 0.999841
15, 0.000087, 0.999767
16, 0.000123, 0.999663
17, 0.000172, 0.999517
18, 0.000238, 0.999313
19, 0.000327, 0.999032
20, 0.000443, 0.998650
21, 0.000595, 0.998134
22, 0.000792, 0.997445
23, 0.001042, 0.996533
24, 0.001358, 0.995339
25, 0.001753, 0.993790
26, 0.002239, 0.991802
27, 0.002833, 0.989276
28, 0.003547, 0.986097
29, 0.004398, 0.982136
30, 0.005399, 0.977250
31, 0.006562, 0.971283
32, 0.007895, 0.964070
33, 0.009405, 0.955435
34, 0.011092, 0.945201
35, 0.012952, 0.933193
36, 0.014973, 0.919243
37, 0.017137, 0.903200
38, 0.019419, 0.884930
39, 0.021785, 0.864334
40, 0.024197, 0.841345
41, 0.026609, 0.815940
42, 0.028969, 0.788145
43, 0.031225, 0.758036
44, 0.033322, 0.725747
45, 0.035207, 0.691462
46, 0.036827, 0.655422
47, 0.038139, 0.617911
48, 0.039104, 0.579260
49, 0.039695, 0.539828
50, 0.039894, 0.500000
51, 0.039695, 0.460172
52, 0.039104, 0.420740
53, 0.038139, 0.382089
54, 0.036827, 0.344578
55, 0.035207, 0.308538
56, 0.033322, 0.274253
57, 0.031225, 0.241964
58, 0.028969, 0.211855
59, 0.026609, 0.184060
60, 0.024197, 0.158655
61, 0.021785, 0.135666
62, 0.019419, 0.115070
63, 0.017137, 0.096800
64, 0.014973, 0.080757
65, 0.012952, 0.066807
66, 0.011092, 0.054799
67, 0.009405, 0.044565
68, 0.007895, 0.035930
69, 0.006562, 0.028717
70, 0.005399, 0.022750
71, 0.004398, 0.017864
72, 0.003547, 0.013903
73, 0.002833, 0.010724
74, 0.002239, 0.008198
75, 0.001753, 0.006210
76, 0.001358, 0.004661
77, 0.001042, 0.003467
78, 0.000792, 0.002555
79, 0.000595, 0.001866
80, 0.000443, 0.001350
81, 0.000327, 0.000968
82, 0.000238, 0.000687
83, 0.000172, 0.000483
84, 0.000123, 0.000337
85, 0.000087, 0.000233
86, 0.000061, 0.000159
87, 0.000042, 0.000108
88, 0.000029, 0.000072
89, 0.000020, 0.000048
90, 0.000013, 0.000032
91, 0.000009, 0.000021
92, 0.000006, 0.000013
93, 0.000004, 0.000009
94, 0.000002, 0.000005
95, 0.000002, 0.000003
96, 0.000001, 0.000002
97, 0.000001, 0.000001
98, 0.000000, 0.000001
99, 0.000000, 0.000000
